time,magnitude,place,longitude,latitude,depth,type,alert,tsunami,sig
2024-11-17 22:10:31.850,2.44000006,"0 km SSE of Pāhala, Hawaii",-155.477005004883,19.1968326568604,32.5299987792969,earthquake,,0,92
2024-11-17 21:58:08.670,2.45,"6 km NNW of The Geysers, CA",-122.802833557129,38.8223342895508,2.66000008583069,earthquake,,0,93
2024-11-17 21:45:03.270,1.17999995,"3 km W of Marston, Missouri",-89.6565017700195,36.514331817627,3.5,earthquake,,0,21
2024-11-17 21:39:27.200,0.78,"8 km NNW of The Geysers, CA",-122.817337036133,38.8320007324219,1.80999994277954,earthquake,,0,9
2024-11-17 20:49:49.420,1.4,"5 km E of Fox, Alaska",-147.5001,64.9567,0.0,earthquake,,0,30
2024-11-17 20:45:07.332,4.4,"2 km NNE of Imām Şāḩib, Afghanistan",68.9488,37.2106,10.0,earthquake,,0,298
2024-11-17 20:26:53.590,1.05,"4 km SSW of Calimesa, CA",-117.065,33.9521667,9.05,earthquake,,0,17
2024-11-17 20:23:03.230,0.64,"8 km SSE of Idyllwild, CA",-116.6791667,33.6803333,16.09,earthquake,,0,6
2024-11-17 20:12:57.910,1.1,"8 km NNW of The Geysers, CA",-122.816329956055,38.8305015563965,1.76999998092651,earthquake,,0,19
2024-11-17 20:09:28.710,2.07999992,"19 km SE of Pāhala, Hawaii",-155.357162475586,19.0661659240723,32.7700004577637,earthquake,,0,67
2024-11-17 20:05:53.950,2.85,"17 km N of Isabela, Puerto Rico",-66.993,18.6528333333333,13.73,earthquake,,0,125
2024-11-17 20:04:50.980,1.93,"3 km NNW of Redway, CA",-123.839836120605,40.1428337097168,20.9099998474121,earthquake,,0,57
2024-11-17 19:58:19.750,1.24,"4 km ESE of Berkeley, CA",-122.234497070312,37.8698348999023,10.9399995803833,earthquake,,0,24
2024-11-17 19:58:07.690,2.2,"2 km ESE of Berkeley, CA",-122.247329711914,37.8671684265137,9.60000038146973,earthquake,,0,74
2024-11-17 19:44:13.580,2.16,"4 km NNE of Corralitos, CA",-121.793502807617,37.0268325805664,11.9399995803833,earthquake,,0,72
2024-11-17 19:39:06.970,0.93,"8 km NW of The Geysers, CA",-122.824668884277,38.8281669616699,1.97000002861023,earthquake,,0,13
2024-11-17 19:27:21.790,1.03,"4 km SE of Loma Linda, CA",-117.2268333,34.0238333,15.22,earthquake,,0,16
2024-11-17 19:23:49.010,1.31,"9 km SE of Winchester, CA",-117.0153351,33.6515007,20.68,earthquake,,0,26
2024-11-17 19:19:29.270,0.38,"9 km WSW of Anza, CA",-116.7593333,33.5118333,3.08,earthquake,,0,2
2024-11-17 19:18:44.983,4.4,"254 km S of Lembar, Indonesia",116.3326,-11.0094,10.0,earthquake,,0,298
2024-11-17 19:15:47.710,0.59,"1 km WSW of The Geysers, CA",-122.762496948242,38.7745018005371,0.670000016689301,earthquake,,0,5
2024-11-17 19:15:05.650,1.38,"19 km NW of Grapevine, CA",-119.0531667,35.0778333,13.27,earthquake,,0,29
2024-11-17 19:12:20.280,0.77,"6 km NNW of The Geysers, CA",-122.802833557129,38.8224983215332,3.11999988555908,earthquake,,0,9
